,0,1,2
0,1024292089817751554,2018-07-31 13:53:59,b'The Ballard Bridge has reopened to traffic - 6:53:53 AM'
1,1024290655294578688,2018-07-31 13:48:17,b'The Ballard Bridge has closed to traffic - 6:48:13 AM'
2,1024287240711626752,2018-07-31 13:34:43,b'The Fremont Bridge has reopened to traffic - 6:34:37 AM'
3,1024285869534937088,2018-07-31 13:29:16,b'The Fremont Bridge has closed to traffic - 6:29:11 AM'
4,1024169048056070144,2018-07-31 05:45:03,b'The Ballard Bridge has reopened to traffic - 10:45:02 PM'
5,1024167740293099522,2018-07-31 05:39:52,b'The Ballard Bridge has closed to traffic - 10:39:50 PM'
6,1024165779317510144,2018-07-31 05:32:04,b'The Fremont Bridge has reopened to traffic - 10:31:59 PM'
7,1024164113394483200,2018-07-31 05:25:27,b'The Fremont Bridge has closed to traffic - 10:25:23 PM'
8,1024161141394554880,2018-07-31 05:13:38,b'The University Bridge has reopened to traffic - 10:13:37 PM'
9,1024159370035122177,2018-07-31 05:06:36,b'The University Bridge has closed to traffic - 10:06:34 PM'
10,1024152457394286592,2018-07-31 04:39:08,b'The Ballard Bridge has reopened to traffic - 9:39:07 PM'
11,1024151401776050176,2018-07-31 04:34:56,b'The Ballard Bridge has closed to traffic - 9:34:51 PM'
12,1024148850292928514,2018-07-31 04:24:48,b'The Fremont Bridge has reopened to traffic - 9:24:47 PM'
13,1024147773644451841,2018-07-31 04:20:31,b'The Fremont Bridge has closed to traffic - 9:20:26 PM'
14,1024144211157762048,2018-07-31 04:06:22,b'The University Bridge has reopened to traffic - 9:06:19 PM'
15,1024143366601109504,2018-07-31 04:03:00,b'The University Bridge has closed to traffic - 9:02:58 PM'
16,1024141868685189121,2018-07-31 03:57:03,b'The Montlake Bridge has reopened to traffic - 8:57:01 PM'
17,1024141003349843969,2018-07-31 03:53:37,b'The Montlake Bridge has closed to traffic - 8:53:35 PM'
18,1024140854095564805,2018-07-31 03:53:01,b'The Fremont Bridge has reopened to traffic - 8:52:58 PM'
19,1024139819964715008,2018-07-31 03:48:55,b'The Fremont Bridge has closed to traffic - 8:48:51 PM'
20,1024127914558640128,2018-07-31 03:01:36,b'The Montlake Bridge has reopened to traffic - 8:01:34 PM'
